X,Y,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
40.7940823884086,-73.9561344937861,37F-PM-1014-03,AM,2018-10-14,10,RED,123,123,false,false,false,false,false,123,false,false,false,false,false,false,false,false
40.7948509408039,-73.9570437717691,37E-PM-1006-03,PM,2018-10-06,Adult,Gray,Ground Plane,,true,false,false,false,false,,false,false,false,false,false,false,false,true
40.7667178072558,-73.9768311751004,2E-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,true,false
40.7697032606755,-73.9757249834141,5D-PM-1018-05,PM,2018-10-18,Juvenile,Gray,Above Ground,,false,false,true,false,false,,false,false,false,false,false,false,false,true
40.797533370163,-73.9593126695714,39B-AM-1018-01,AM,2018-10-18,,,Above Ground,,false,false,false,false,false,unknown,true,false,false,false,false,false,false,false
40.7902561000937,-73.9565700386162,33H-AM-1019-02,AM,2018-10-19,Juvenile,Gray,Ground Plane,,false,false,false,false,false,wrestling with mother,false,false,false,false,false,false,false,false
40.7693045133578,-73.9719735582476,6G-PM-1020-02,PM,2018-10-20,Adult,Gray,Ground Plane,,true,true,false,false,false,,false,false,false,false,false,false,true,false
40.7942883045566,-73.9602609920814,35C-PM-1013-03,PM,2018-10-13,,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,true
40.7729752391435,-73.9770718586754,7B-AM-1008-09,AM,2018-10-08,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,true,false
40.7903128889029,-73.9596413903948,32E-PM-1017-14,PM,2018-10-17,Adult,Gray,,,false,false,false,true,true,,false,false,false,false,false,false,false,true
40.7762126854894,-73.9702676472613,13E-AM-1017-05,AM,2018-10-17,Adult,Gray,Above Ground,on tree stump,false,false,false,false,true,,false,false,false,false,false,false,false,false
40.7725908847499,-73.9683613516225,11H-AM-1010-03,AM,2018-10-10,Adult,Cinnamon,,,false,false,false,false,true,,false,false,false,false,true,false,true,false
40.7931811701082,-73.9541201789795,36H-AM-1010-02,AM,2018-10-10,Adult,Gray,Ground Plane,,false,false,false,false,true,,false,false,false,false,false,false,false,false
